fuelType,rating,renterTripsTaken,reviewCount,location.city,rate.daily,vehicle.make,vehicle.model,vehicle.type
PETROL,4.88,21,17,Brisbane,136,Lexus,GX,suv
PETROL,5,38,36,Brisbane,297.5,Lexus,LC 500,car
PETROL,4.98,61,48,Brisbane,302.6,Lexus,LC 500,car
PETROL,5,1,1,Brisbane,98.6,Lexus,RX 350L,suv
PETROL,4.93,33,28,Brisbane,355.3,Mercedes-Benz,AMG GT,car
PETROL,5,4,4,Brisbane,98.6,Mercedes-Benz,C-Class,car
PETROL,4.99,124,110,Brisbane,136,Mercedes-Benz,C-Class,car
PETROL,5,24,20,Brisbane,170,Mercedes-benz,C-Class,car
PETROL,4.99,92,80,Brisbane,180.2,Mercedes-Benz,C-Class,car
PETROL,5,48,44,Brisbane,190.4,Mercedes-benz,C-Class,car
PETROL,5,18,17,Brisbane,195.5,Mercedes-Benz,C-Class,car
PETROL,4.86,42,37,Brisbane,289,Mercedes-Benz,C-Class,car
PETROL,4.84,90,77,Brisbane,119,Mercedes-Benz,CL-Class,car
PETROL,5,24,19,Brisbane,136,Mercedes-Benz,CLA-Class,car
PETROL,4.94,57,53,Brisbane,153,Mercedes-benz,CLA-Class,car
PETROL,5,14,8,Brisbane,168.3,Mercedes-Benz,E-Class,car
PETROL,5,24,22,Brisbane,190.4,Mercedes-Benz,E-Class,car
PETROL,5,109,98,Brisbane,98.6,Mercedes-Benz,GLC-Class,suv
PETROL,5,9,7,Brisbane,268.6,Mercedes-benz,GLE-Class,suv
PETROL,5,10,10,Brisbane,338.3,Mercedes-Benz,S-Class,car
PETROL,4.99,89,77,Brisbane,253.3,Mercedes-Benz,SL-Class,car
PETROL,4.97,79,70,Brisbane,127.5,Mercedes-Benz,SLK-Class,car
ELECTRIC,5,67,64,Bundaberg,151.3,Tesla,Model 3,car
ELECTRIC,5,14,11,Bundaberg,198.9,Tesla,Model 3,car
ELECTRIC,5,13,12,Bundaberg,221,Tesla,Model 3,car
ELECTRIC,5,18,15,Bundaberg,222.7,Tesla,Model 3,car
ELECTRIC,4.73,16,15,Bundaberg,243.1,Tesla,Model S,car
HYBRID,5,20,16,Bundaberg,382.5,BMW,i8,car
HYBRID,5,32,26,Bundaberg,595,BMW,i8,car
PETROL,5,10,6,Bundaberg,110.5,BMW,1 Series,car
PETROL,4.94,56,51,Bundaberg,134.3,BMW,1 Series,car
PETROL,4.6,5,5,Bundaberg,119,BMW,3 Series,car
PETROL,5,49,44,Bundaberg,295.8,BMW,4-Series,car
PETROL,5,1,1,Bundaberg,151.3,BMW,5 Series,car
PETROL,5,6,5,Bundaberg,280.5,BMW,M4,car
PETROL,4.6,11,10,Bundaberg,331.5,BMW,M4,car
PETROL,5,17,16,Bundaberg,280.5,Land Rover,Range Rover Sport,suv
PETROL,5,7,4,Bundaberg,253.3,Lexus,IS 350,car
PETROL,4.83,6,6,Bundaberg,71.4,Mercedes-Benz,C-Class,car
PETROL,5,4,3,Bundaberg,122.4,Mercedes-Benz,C-Class,car
PETROL,5,2,2,Bundaberg,153,Mercedes-Benz,C-Class,car
PETROL,4.91,24,23,Bundaberg,115.6,Mercedes-Benz,CLA-Class,car
PETROL,5,43,36,Bundaberg,62.9,Mercedes-Benz,E-Class,car
PETROL,5,13,12,Bundaberg,139.4,Mercedes-Benz,E-Class,car
PETROL,5,3,3,Bundaberg,831.3,Mercedes-benz,G-Class,suv
PETROL,4.92,17,13,Bundaberg,147.9,Mercedes-Benz,GLE-Class,suv
PETROL,4.67,6,3,Bundaberg,79.9,Mercedes-Benz,M-Class,suv
PETROL,5,6,4,Bundaberg,170,Mercedes-Benz,M-Class,suv
PETROL,5,8,8,Bundaberg,117.3,Mercedes-Benz,SLK-Class,car
ELECTRIC,5,81,72,Gladstone,161.5,Tesla,Model 3,car
ELECTRIC,5,21,19,Gladstone,180.2,Tesla,Model 3,car
ELECTRIC,4.97,159,132,Gladstone,374,Tesla,Model 3,car
ELECTRIC,4.96,92,73,Gladstone,154.7,Tesla,Model S,car
ELECTRIC,5,25,17,Gladstone,161.5,Tesla,Model S,car
ELECTRIC,4.78,202,151,Gladstone,234.6,Tesla,Model S,car
ELECTRIC,4.6,17,10,Gladstone,253.3,Tesla,Model S,car
ELECTRIC,5,33,28,Gladstone,423.3,Tesla,Model S,car
ELECTRIC,5,38,26,Gladstone,209.1,Tesla,Model X,suv
ELECTRIC,4.88,110,83,Gladstone,253.3,Tesla,Model X,suv
ELECTRIC,4.93,51,43,Gladstone,253.3,Tesla,Model X,suv
HYBRID,4.77,49,35,Gladstone,117.3,BMW,5-Series,car
HYBRID,4.91,77,69,Gladstone,270.3,BMW,i8,car
HYBRID,4.92,110,100,Gladstone,304.3,BMW,i8,car
HYBRID,5,10,8,Gladstone,467.5,Mercedes-Benz,S-Class,car
PETROL,4.83,140,95,Gladstone,100.3,BMW,3 Series,car
PETROL,4.97,38,33,Gladstone,93.5,BMW,3-Series,car
PETROL,5,19,19,Gladstone,158.1,BMW,7 Series,car
PETROL,5,13,11,Gladstone,338.3,BMW,7 Series,car
PETROL,4.87,19,15,Gladstone,391,BMW,7 Series,car
PETROL,4.95,25,22,Gladstone,168.3,BMW,M4,car
PETROL,4.94,42,36,Gladstone,202.3,BMW,M4,car
PETROL,4.89,83,64,Gladstone,100.3,BMW,Z4,car
PETROL,4.97,82,71,Gladstone,127.5,BMW,Z4,car
PETROL,4.88,68,49,Gladstone,93.5,Mercedes-Benz,C-Class,car
PETROL,4.93,86,72,Gladstone,134.3,Mercedes-Benz,C-Class,car
PETROL,4.91,52,44,Gladstone,110.5,Mercedes-benz,CLA-Class,car
PETROL,4.92,85,66,Gladstone,389.3,Mercedes-Benz,G-Class,suv
PETROL,4.94,126,110,Gladstone,508.3,Mercedes-Benz,G-Class,suv
PETROL,4.98,59,51,Gladstone,321.3,Mercedes-Benz,S-Class,car
PETROL,4.83,123,96,Gladstone,130.9,Mercedes-Benz,SLK-Class,car
ELECTRIC,5,10,10,Gold Coast,115.6,Tesla,Model 3,car
ELECTRIC,,2,0,Gold Coast,115.6,Tesla,Model 3,car
ELECTRIC,5,3,3,Gold Coast,125.8,Tesla,Model 3,car
ELECTRIC,4.92,147,125,Gold Coast,134.3,Tesla,Model 3,car
ELECTRIC,5,16,15,Gold Coast,151.3,Tesla,Model 3,car
ELECTRIC,4.97,37,35,Gold Coast,153,Tesla,Model 3,car
ELECTRIC,5,35,31,Gold Coast,161.5,Tesla,Model 3,car
ELECTRIC,4.89,19,18,Gold Coast,161.5,Tesla,Model 3,car
ELECTRIC,5,17,17,Gold Coast,168.3,Tesla,Model 3,car
ELECTRIC,5,13,12,Gold Coast,168.3,Tesla,Model 3,car
ELECTRIC,4.91,40,35,Gold Coast,170,Tesla,Model 3,car
ELECTRIC,5,4,3,Gold Coast,175.1,Tesla,Model 3,car
ELECTRIC,5,61,60,Gold Coast,185.3,Tesla,Model 3,car
ELECTRIC,4.96,60,45,Gold Coast,253.3,Tesla,Model 3,car
ELECTRIC,5,23,21,Gold Coast,270.3,Tesla,Model 3,car
ELECTRIC,5,23,16,Gold Coast,314.5,Tesla,Model 3,car
ELECTRIC,4.85,76,71,Gold Coast,117.3,Tesla,Model S,car
ELECTRIC,4.82,29,22,Gold Coast,130.9,Tesla,Model S,car
ELECTRIC,5,53,48,Gold Coast,151.3,Tesla,Model S,car
ELECTRIC,5,17,12,Gold Coast,161.5,Tesla,Model S,car
ELECTRIC,5,15,13,Gold Coast,185.3,Tesla,Model S,car
ELECTRIC,5,1,1,Gold Coast,185.3,Tesla,Model S,car
ELECTRIC,5,10,9,Gold Coast,195.5,Tesla,Model S,car
ELECTRIC,5,1,1,Gold Coast,195.5,Tesla,Model S,car
ELECTRIC,4.98,51,46,Gold Coast,202.3,Tesla,Model S,car
ELECTRIC,4.9,130,106,Gold Coast,287.3,Tesla,Model S,car
ELECTRIC,5,3,3,Gold Coast,236.3,Tesla,Model X,suv
ELECTRIC,4.94,124,105,Gold Coast,287.3,Tesla,Model X,suv
ELECTRIC,5,74,64,Gold Coast,304.3,Tesla,Model X,suv
ELECTRIC,4.81,61,53,Gold Coast,304.3,Tesla,Model X,suv
ELECTRIC,4.95,52,42,Gold Coast,304.3,Tesla,Model X,suv
ELECTRIC,5,10,6,Gold Coast,678.3,Tesla,Model X,suv
HYBRID,4.87,25,23,Gold Coast,83.3,BMW,I3,car
HYBRID,5,150,138,Gold Coast,236.3,BMW,i8,car
HYBRID,5,1,1,Gold Coast,161.5,Lexus,ES 300h,car
HYBRID,5,24,21,Gold Coast,83.3,Lexus,Ux,suv
HYBRID,4.87,44,38,Gold Coast,168.3,Porsche,Panamera,car
PETROL,4.79,40,34,Gold Coast,71.4,BMW,3 Series,car
PETROL,4.79,36,29,Gold Coast,110.5,BMW,3 Series,car
PETROL,4.86,32,29,Gold Coast,117.3,BMW,3-Series,car
PETROL,4.92,51,48,Gold Coast,127.5,BMW,4 Series,car
PETROL,5,47,44,Gold Coast,95.2,BMW,4 Series Gran Coupe,car
PETROL,5,57,54,Gold Coast,151.3,BMW,5 Series,car
PETROL,5,4,4,Gold Coast,100.3,BMW,6 Series,car
PETROL,4.9,10,10,Gold Coast,221,BMW,6 Series,car
PETROL,5,36,30,Gold Coast,100.3,BMW,X1,suv
PETROL,4.89,24,18,Gold Coast,100.3,BMW,X1,suv
PETROL,4.91,15,11,Gold Coast,100.3,BMW,X1,suv
PETROL,5,21,19,Gold Coast,83.3,BMW,X3,suv
PETROL,4.94,17,17,Gold Coast,93.5,BMW,X5,suv
PETROL,5,9,9,Gold Coast,253.3,BMW,X6 M,suv
PETROL,5,5,3,Gold Coast,107.1,BMW,Z4,car
PETROL,5,38,28,Gold Coast,149.6,BMW,Z4,car
PETROL,4.9,42,39,Gold Coast,161.5,BMW,Z4,car
PETROL,5,52,51,Gold Coast,134.3,Lexus,IS 200t,car
PETROL,4.99,95,81,Gold Coast,159.8,Lexus,NX 300,suv
PETROL,5,21,19,Gold Coast,100.3,Mercedes-Benz,C-Class,car
PETROL,4.76,57,49,Gold Coast,117.3,Mercedes-Benz,C-Class,car
PETROL,4.81,39,37,Gold Coast,88.4,Mercedes-Benz,GL-Class,suv
PETROL,5,44,41,Gold Coast,119,Mercedes-Benz,GLA-Class,suv
PETROL,5,2,2,Gold Coast,83.3,Mercedes-Benz,M-Class,suv
ELECTRIC,4.85,60,55,Gympie,251.6,Tesla,Model 3,car
ELECTRIC,4.79,36,28,Gympie,251.6,Tesla,Model 3,car
